"Player","Shift Rate (2022)","Donors","Est_2023_OBP","Est_2024_OBP","p_OBP","Est_2023_OPS","Est_2024_OPS","p_OPS","Est_2023_wOBA","Est_2024_wOBA","p_wOBA"
"Corey Seager","92.8%","13.000"," 0.085"," 0.003","0.140"," 0.261"," 0.129","0.047"," 0.094"," 0.016","0.047"
"Kyle Tucker","90.9%","42.000"," 0.031"," 0.071","0.093"," 0.096"," 0.139","0.116"," 0.032"," 0.082","0.047"
"Kyle Schwarber","90.7%","18.000"," 0.033"," 0.090","0.070","-0.003"," 0.044","0.837","-0.006"," 0.009","0.930"
"Cody Bellinger","90.5%","18.000"," 0.065"," 0.052","0.070"," 0.104"," 0.067","0.186"," 0.051"," 0.034","0.116"
"Joey Gallo","90.0%","18.000","-0.057","-0.103","0.070","-0.002","-0.070","0.674","-0.040","-0.080","0.047"
"Max Kepler","89.7%","13.000"," 0.005","-0.034","0.558"," 0.099"," 0.027","0.302"," 0.035","-0.001","0.558"
"Max Muncy","89.0%","22.000"," 0.011"," 0.035","0.372","-0.052"," 0.131","0.651","-0.015"," 0.044","0.628"
"Seth Brown","88.6%","42.000","-0.035","-0.036","0.209","-0.066","-0.086","0.233","-0.024","-0.027","0.302"
"Shohei Ohtani","88.3%","22.000"," 0.085"," 0.081","0.070"," 0.315"," 0.375","0.023"," 0.111"," 0.149","0.023"
"Yordan Alvarez","88.1%","27.000"," 0.015"," 0.047","0.256"," 0.214"," 0.240","0.047"," 0.083"," 0.089","0.023"
"Brandon Lowe","85.3%","27.000"," 0.021"," 0.000","0.674"," 0.124"," 0.182","0.047"," 0.042"," 0.067","0.047"
"Eddie Rosario","83.6%","13.000"," 0.029","-0.027","1.000"," 0.074","-0.075","1.000"," 0.021","-0.049","0.628"
"Anthony Rizzo","82.6%","13.000"," 0.001","-0.033","0.488","-0.084","-0.129","0.116","-0.029","-0.053","0.116"
"Matt Olson","81.3%","22.000"," 0.078"," 0.003","0.186"," 0.242","-0.065","0.186"," 0.088","-0.009","0.140"
"Mike Yastrzemski","81.2%","27.000"," 0.019","-0.019","1.000"," 0.119"," 0.152","0.070"," 0.037"," 0.052","0.093"
"Eugenio Suárez","80.9%","13.000"," 0.006","-0.012","0.907"," 0.019"," 0.141","0.233"," 0.008"," 0.043","0.279"
"Byron Buxton","78.8%","13.000","-0.043","-0.027","0.209"," 0.085"," 0.266","0.047"," 0.035"," 0.061","0.093"
"Rowdy Tellez","78.4%","27.000","-0.027","-0.025","0.326","-0.048"," 0.032","0.953","-0.019"," 0.017","0.930"
"Carlos Santana","78.2%","13.000","-0.004"," 0.000","0.907","-0.015"," 0.015","1.000","-0.007"," 0.002","0.907"
"Jorge Soler","78.0%","13.000"," 0.046"," 0.066","0.093"," 0.123"," 0.110","0.116"," 0.044"," 0.044","0.093"
"José Ramírez","77.3%","13.000"," 0.012"," 0.007","0.674"," 0.027"," 0.145","0.186"," 0.004"," 0.050","0.256"
"Josh Naylor","77.1%","27.000"," 0.035","-0.015","0.674"," 0.134"," 0.123","0.070"," 0.047"," 0.047","0.093"
"Joc Pederson","77.0%","13.000","-0.001"," 0.021","0.674"," 0.055"," 0.178","0.116","-0.002"," 0.056","0.256"
