"year","name","team_id","bat_side","total_pa","pa_shades","pa_shade_percent","woba_shade","pa_non_shades","pa_non_shade_percent","woba_non_shade"
2024,"Pagés, Pedro",138,"R",215,3,"1.4",".294",212,"98.6",".290"
2024,"Martínez, Angel",114,"R",44,3,"6.8",".230",41,"93.2",".329"
2024,"Rodriguez, Johnathan",114,"R",40,3,"7.5",".459",37,"92.5",".236"
2024,"Nuñez, Nasim",120,"L",46,3,"6.5",".588",43,"93.5",".253"
2024,"Amaya, Jacob",145,"R",72,3,"4.2",".230",69,"95.8",".189"
2024,"Remillard, Zach",145,"R",39,3,"7.7",".524",36,"92.3",".286"
2024,"Alvarez, Eddy",121,"L",11,4,"36.4",".172",7,"63.6",".103"
2024,"Hinds, Rece",113,"R",51,4,"7.8",".000",47,"92.2",".470"
2024,"Ríos, Edwin",113,"L",10,4,"40.0",".172",6,"60.0",".147"
2024,"Castro, Willi",142,"R",164,4,"2.4",".314",160,"97.6",".292"
2024,"Abreu, José",117,"R",110,4,"3.6",".220",106,"96.4",".160"
2024,"Walton, Donovan",137,"L",25,4,"16.0",".220",21,"84.0",".240"
2024,"Encarnacion, Jerar",137,"R",119,4,"3.4",".512",115,"96.6",".294"
2024,"Pauley, Graham",135,"L",31,4,"12.9",".000",27,"87.1",".217"
2024,"McCoy, Mason",135,"R",57,4,"7.0",".000",53,"93.0",".260"
2024,"Grandal, Yasmani",134,"R",60,4,"6.7",".220",56,"93.3",".263"
2024,"Schunk, Aaron",115,"R",97,4,"4.1",".000",93,"95.9",".268"
2024,"Zavala, Seby",136,"R",43,4,"9.3",".172",39,"90.7",".226"
2024,"Fermín, José",138,"R",77,4,"5.2",".393",73,"94.8",".202"
2024,"Saggese, Thomas",138,"R",52,4,"7.7",".220",48,"92.3",".249"
2024,"Bethancourt, Christian",112,"R",147,5,"3.4",".176",142,"96.6",".266"
2024,"Bote, David",112,"R",47,5,"10.6",".529",42,"89.4",".299"
2024,"Gomes, Yan",112,"R",96,5,"5.2",".000",91,"94.8",".195"
2024,"Carlson, Dylan",139,"R",115,5,"4.3",".628",110,"95.7",".262"
2024,"Wagaman, Eric",108,"R",74,5,"6.8",".502",69,"93.2",".274"
2024,"Díaz, Aledmys",117,"R",34,5,"14.7",".000",29,"85.3",".115"
