"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","babip","woba","xwoba","pull_percent","straightaway_percent","opposite_percent","batted_ball"
"Calhoun, Willie","641432","2020","100","108","19","15","2","1","1",15.7,4.6,".190",".260",".231","0.491",".214",".217",".234",32.9,45.9,21.2,"85"
"Myers, Wil","571976","2020","198","218","57","26","14","2","15",25.7,8.3,".288",".606",".353","0.959",".331",".400",".396",36.6,33.8,29.6,"142"
"Belt, Brandon","474832","2020","149","179","46","23","13","1","9",20.1,16.8,".309",".591",".425","1.016",".356",".427",".422",40.7,39.8,19.5,"113"
"Judge, Aaron","592450","2020","101","114","26","14","3","0","9",28.1,8.8,".257",".554",".336","0.890",".283",".375",".378",50.7,30.4,18.8,"69"
"Seager, Corey","608369","2020","212","232","65","37","12","1","15",15.9,7.3,".307",".585",".358","0.943",".309",".394",".434",37.9,36.7,25.4,"177"
"Cabrera, Asdrúbal","452678","2020","190","213","46","26","9","3","8",18.8,8.9,".242",".447",".305","0.752",".260",".319",".317",42.9,37,20.1,"154"
"Crawford, J.P.","641487","2020","204","232","52","41","7","2","2",16.8,9.9,".255",".338",".336","0.674",".303",".303",".318",34.7,32.9,32.3,"167"
"Fletcher, David","664058","2020","207","230","66","50","13","0","3",10.9,8.7,".319",".425",".376","0.801",".348",".350",".316",34.6,35.7,29.7,"185"
"García, Luis","671277","2020","134","139","37","29","6","0","2",20.9,3.6,".276",".366",".302","0.668",".340",".291",".296",37.1,29.5,33.3,"105"
"Frazier, Adam","624428","2020","209","230","48","34","7","0","7",15.2,7.4,".230",".364",".297","0.661",".246",".291",".309",30.9,38.9,30.3,"175"
"Alberto, Hanser","593643","2020","219","231","62","44","15","0","3",13,2.2,".283",".393",".306","0.699",".314",".301",".261",35.8,40.4,23.8,"193"
"Wade, Tyler","642180","2020","88","105","15","9","3","0","3",21,11.4,".170",".307",".288","0.595",".188",".271",".310",36.8,39.7,23.5,"68"
